66402,Afrikaans [African],afrikaans
73361,allemand,allemand
76,Allemand [German],allemand
74162,Anglais,anglais
90,Anglais [English],anglais
8421,Arabe [Arabic],arabe
13634,Castillan [Castillian],castillan
13640,Castillian,castillan
51920,Catalan [Catalonian],catalan
2472,Coréan [Korean],coréan
4581,Croate [Croatian],croate
5418,Danish,danois
3812,Danois [Danish],danois
56778,Deutsch - Latein [German - Latin],allemand - latin
76735,Deutsch ; English,allemand - anglais
72320,Deutsch ; English ; Español ; Italiano,allemand - anglais - espagnol - italien
1125,Deutsch [German],allemand
72359,"Deutsch, Français [German, French]",allemand - français
32044,Dutch - French,néerlandais - français
71537,En croate,croate
69,English,anglais
56126,English - French,anglais - français
73956,English - French - Italian,anglais - français - italien
8476,English - German,allemand - anglais
74817,English - Japanese,anglais - japonais
4307,Español [Spanish],espagnol
154,Espagnol [Spanish],espagnol
2196,Espagnol [Spanish],espagnol
74165,Français,français
27,Français [French],français
1477,Français [French],français
22,French,français
1028,French,français
9816,French - Bulgarian,français - bulgare
1931,French - Latin,français - latin
14,German,allemand
30,Grec [Greek],grec
33728,Grec [Greek],grec
73575,Grec [Greek] - Italien [Italian],grec - italien
73126,Greco [Greek],grec
284,Greek,grec
73730,"Greek, Latin, English",grec - italien - anglais
25440,Hébreu [Hebrew],hébreu
13399,Hongrois [Hungarian],hongrois
147,Hungarian,hongrois
9947,Icelandais [Icelandic],islandais
14100,indonésien,indonésien
15829,Indonésien [Indonesian],indonésien
57234,Indonesian,indonésien
32769,Italiaans [Italian],italien
24,Italian,italien
73927,Italiano - Latino [Italian - Latin],italien - latin
174,Italiano [Italian],italien
870,Italien,italien
935,Japanese,japonais
17385,Japonais [Japanese],japonais
37686,Latein - Deutsch [Latin - German],allemand - latin
35667,Latein - Mittelhochdeutsch [Latin - Middle High German],latin - moyen haut-allemand
13,Latin,latin
13580,Latin - Allemand [Latin - German],allemand - latin
66491,Latin - Dutch,latin - néerlandais
31217,Latin  -English,latin - anglais
73558,Latin - Español [Latin - Spanish],latin - espagnol
30796,Latin - Français [Latin - French],français - latin
785,Latin - French,français - latin
51216,Latin - German,allemand - latin
73769,Latin - Greek,latin - grec
64042,Latin - Italian,italien - latin
7141,Latin - Italien [Latin - Italian],italien - latin
4235,Latin - Spanish,latin - espagnol
73954,Latvian,letton
8470,Maltese,maltais
74194,Moyen anglais,moyen anglais
39,Néerlandais [Dutch],néerlandais
35,Nederlands [Dutch],néerlandais
324,Nordic,Nordic
2319,Norvégien,norvégien
12817,Polonais,polonais
290,Polonais [Polish],polonais
72110,Polska [Polish],polonais
793,Portugais [Portuguese],portugais
71058,Português [Portuguese],portugais
266,Portuguese,portugais
65497,Portuguese - German,portugais - allemand
29005,Roumain [Roumanian],roumain
2286,Roumanian,roumain
5987,Russe [Russian],russe
348,Russian,russe
28418,Serbo-croate [Serbo-Croatian],serbo-croate
8444,Serbo-Croatian,serbo-croate
21031,Slovène [Slovenian],slovène
48381,Slovenian,slovène
28724,Slowaaks [Slovak],slovaque
46,Spanish,espagnol
25773,Suédois [Swedish],suédois
23,Swedish,suédois
13482,Tchèque [Czech],tchèque
